#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
105,Cameroon,"29,617",,462,,"28,045",,"1,110",46,"1,100",17,"149,000","5,534","26,923,102",Africa,909,"58,275",181
106,Australia,"28,800",+7,909,,"26,035",+6,"1,856",,"1,122",35,"12,887,778","502,051","25,670,282",Australia/Oceania,891,"28,240",2
107,Ivory Coast,"27,694",,151,,"25,542",,"2,001",,"1,035",6,"330,173","12,342","26,751,215",Africa,966,"177,160",81
108,Sudan,"26,898",,"1,798",,"21,155",,"3,945",,605,40,,,"44,434,360",Africa,"1,652","24,713",
109,Senegal,"25,711",,614,,"21,395",,"3,702",53,"1,513",36,"320,993","18,887","16,995,576",Africa,661,"27,680",53
110,Cuba,"24,105",,208,,"19,050",,"4,847",41,"2,129",18,"1,838,047","162,334","11,322,605",North America,470,"54,436",6
111,DRC,"22,322",,665,,"14,997",,"6,660",,245,7,,,"91,109,957",Africa,"4,082","137,007",
112,Malawi,"22,304",,628,,"7,548",,"14,128",4,"1,149",32,"137,588","7,088","19,411,975",Africa,870,"30,911",141
113,Botswana,"21,293",,134,,"17,198",,"3,961",1,"8,951",56,"648,636","272,671","2,378,820",Africa,112,"17,752",4
114,Angola,"19,672",,464,,"17,692",,"1,516",21,588,14,"174,111","5,206","33,447,432",Africa,"1,700","72,085",192
115,Madagascar,"18,743",,279,,"17,930",,534,16,667,10,"108,310","3,855","28,097,197",Africa,"1,499","100,707",259
116,French Polynesia,"18,033",,131,,"4,842",,"13,060",10,"63,982",465,"26,355","93,508","281,847",Australia/Oceania,16,"2,152",11
117,Malta,"17,400",,261,,"14,452",,"2,687",18,"39,347",590,"603,026","1,363,621","442,224",Europe,25,"1,694",1
118,Thailand,"17,023",+802,76,,"11,396",+109,"5,551",1,244,1,"1,217,873","17,423","69,901,404",Asia,"4,106","919,755",57
