#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
169,Burundi,426,,1,,336,,89,,36,0.08,"19,993","1,675","11,936,793",Africa,"28,021","11,936,793",597
170,Comoros,417,,7,,396,,14,,478,8,,,"872,087",Africa,"2,091","124,584",
171,Faeroe Islands,384,,,,300,,84,4,"7,855",,"81,991","1,677,085","48,889",Europe,127,,1
172,Papua New Guinea,361,,4,,198,,159,,40,0.4,"14,439","1,610","8,969,965",Australia/Oceania,"24,848","2,242,491",621
173,Sint Maarten,353,,17,,146,,190,3,"8,220",396,"2,011","46,828","42,944",North America,122,"2,526",21
174,Turks and Caicos,347,+13,2,,102,,243,3,"8,946",52,"1,991","51,329","38,789",North America,112,"19,395",19
175,Mauritius,346,,10,,334,,2,,272,8,"205,285","161,379","1,272,071",Africa,"3,677","127,207",6
176,Isle of Man,336,,24,,312,,0,,"3,948",282,"9,483","111,438","85,097",Europe,253,"3,546",9
177,Martinique,336,,16,,98,,222,2,895,43,"12,227","32,586","375,223",North America,"1,117","23,451",31
178,Eritrea,306,,,,274,,32,,86,,,,"3,553,187",Africa,"11,612",,
179,French Polynesia,298,,,,148,,150,2,"1,060",,"9,912","35,257","281,138",Australia/Oceania,943,,28
180,Mongolia,298,,,,288,+5,10,1,91,,"47,587","14,484","3,285,510",Asia,"11,025",,69
181,Cambodia,273,,,,263,+10,10,1,16,,"86,606","5,170","16,750,860",Asia,"61,358",,193
182,Gibraltar,239,+8,,,201,+1,38,,"7,094",,"30,268","898,427","33,690",Europe,141,,1
183,Cayman Islands,205,,1,,202,,2,,"3,114",15,"34,208","519,649","65,829",North America,321,"65,829",2
184,Saint Martin,176,,5,,52,,119,1,"4,541",129,"2,449","63,190","38,756",North America,220,"7,751",16
185,Bermuda,167,,9,,147,,11,,"2,683",145,"36,998","594,403","62,244",North America,373,"6,916",2
186,Barbados,157,,7,,124,,26,,546,24,"15,332","53,342","287,426",North America,"1,831","41,061",19
187,Monaco,154,,4,,116,,34,1,"3,920",102,"51,953","1,322,599","39,281",Europe,255,"9,820",1
188,Bhutan,154,+1,,,110,+2,44,,199,,"76,034","98,389","772,791",Asia,"5,018",,10
189,Brunei,143,,3,,139,,1,,326,7,"49,399","112,766","438,065",Asia,"3,063","146,022",9
190,Seychelles,132,,,,126,,6,,"1,341",,,,"98,433",Africa,746,,
